participantID,meetID,teamID
KR@D13RC2021,D13RC2021,KR
CT@SV@CT2021,SV@CT2021,CT
SV@SV@CT2021,SV@CT2021,SV
MHC@KR@MHC2021,KR@MHC2021,MHC
KR@KR@MHC2021,KR@MHC2021,KR
DV@FH@DV2021,FH@DV2021,DV
FH@FH@DV2021,FH@DV2021,FH
CT@MHC@CT2021,MHC@CT2021,CT
MHC@MHC@CT2021,MHC@CT2021,MHC
FH@KR@FH2021,KR@FH2021,FH
KR@KR@FH2021,KR@FH2021,KR
SV@DV@SV2021,DV@SV2021,SV
DV@DV@SV2021,DV@SV2021,DV
SS2@PT@SS22021,PT@SS22021,SS2
PT@PT@SS22021,PT@SS22021,PT
LH@RV@LH2021,RV@LH2021,LH
RV@RV@LH2021,RV@LH2021,RV
W@FX@W2021,FX@W2021,W
FX@FX@W2021,FX@W2021,FX
PT@W@PT2021,W@PT2021,PT
W@W@PT2021,W@PT2021,W
LH@SS2@LH2021,SS2@LH2021,LH
SS2@SS2@LH2021,SS2@LH2021,SS2
FX@RV@FX2021,RV@FX2021,FX
RV@RV@FX2021,RV@FX2021,RV
PT@FX@PT2021,FX@PT2021,PT
FX@FX@PT2021,FX@PT2021,FX
W@LH@W2021,LH@W2021,W
LH@LH@W2021,LH@W2021,LH
RV@SS2@RV2021,SS2@RV2021,RV
SS2@SS2@RV2021,SS2@RV2021,SS2
PT@D14RC2021,D14RC2021,PT
RV@D14RC2021,D14RC2021,RV
W@D14RC2021,D14RC2021,W
FX@D14RC2021,D14RC2021,FX
SS2@D14RC2021,D14RC2021,SS2
LH@D14RC2021,D14RC2021,LH
RV@PT@RV2021,PT@RV2021,RV
PT@PT@RV2021,PT@RV2021,PT
LH@FX@LH2021,FX@LH2021,LH
FX@FX@LH2021,FX@LH2021,FX
SS2@W@SS22021,W@SS22021,SS2
W@W@SS22021,W@SS22021,W
PT@LH@PT2021,LH@PT2021,PT
LH@LH@PT2021,LH@PT2021,LH
FX@SS2@FX2021,SS2@FX2021,FX
SS2@SS2@FX2021,SS2@FX2021,SS2
RV@W@RV2021,W@RV2021,RV
W@W@RV2021,W@RV2021,W
PL@LB@PL2021,LB@PL2021,PL
LB@LB@PL2021,LB@PL2021,LB
H@IC@H2021,IC@H2021,H
IC@IC@H2021,IC@H2021,IC
HH@PAR@HH2021,PAR@HH2021,HH
PAR@PAR@HH2021,PAR@HH2021,PAR
PAR@PL@PAR2021,PL@PAR2021,PAR
PL@PL@PAR2021,PL@PAR2021,PL
IC@LB@IC2021,LB@IC2021,IC
LB@LB@IC2021,LB@IC2021,LB
