teamID,name,abbr,location
HS2024,Highlands Swim,HS,"1515 Bryan Branch Rd.Mc Lean, VA 22101"
OKM2024,Old Keene Mill,OKM,"9534 Orion Ct.Burke, VA 22015"
CP2024,Crosspointe,CP,"8275 Glen Eagle Drive Fairfax Station, VA 22039"
L2024,Langley,L,"728 Live Oak Dr.Mc Lean, VA 22101"
OAK2024,Oakton,OAK,"11714 Flemish Mill Court Oakton, VA 22124"
HPP2024,High Point Pool,HPP,"6840 Woodland Drive Falls Church, VA 22046"
HV2024,Hunt Valley,HV,"7100 Sydenstricker Road Springfield, VA 22153"
ML2024,McLean,ML,"1700 Margie Drive Mc Lean, VA 22101"
KG2024,Kent Gardens,KG,"1906 Westmoreland Road Mc Lean, VA 22101"
WC2024,Wakefield Chapel,WC,"4627 Holborn Ave.Annandale, VA 22003"
FO2024,Fair Oaks,FO,"3720 Charles Stewart Drive Fairfax, VA 22033"
M2024,Mantua,M,"9330 Pentland Place Fairfax, VA 22031"
LRR2024,Little Rocky Run,LRR,"6201 Sandstone Way Clifton, VA 20124"
HSC2024,Hamlet,HSC,"8209 Dunsinane Court Mc Lean, VA 22102"
LHP2024,Little Hunting Park,LHP,"7000 Canterbury Lane Alexandria, VA 22307"
VW2024,Vienna Woods,VW,"109 Harmony Drive SWVienna, VA 22182"
OH2024,Orange Hunt,OH,"8600 Bridlewood Drive Springfield, VA 22152"
HB2024,Hiddenbrook,HB,"1508 A Sadlers Wells Dr Herndon, VA 20170"
VAC2024,Vienna Aquatic,VAC,"625 Marshall Rd Vienna, VA 22180"
LG2024,Lee Graham,LG,"7319 Lee Highway Falls Church, VA 22042"
PC2024,Pinecrest,PC,"12515 Pinecrest Road Herndon, VA 20171"
SHR2024,Sleepy Hollow Rec,SHR,"3538 Sleepy Hollow Road Falls Church, VA 22042"
CH2024,Cardinal Hill,CH,"9117 Westerholme Way Vienna, VA 22182"
VH2024,Virginia Hills,VH,"6500 Virginia Hills Pool Dr. formerly Robinson Dr.Alexandria, VA 22310"
VR2024,Virginia Run,VR,"15355 Wetherburn Court Centreville, VA 20120"
SOR2024,South Run,SOR,"9908 South Park Circle Fairfax Station, VA 22039"
F2024,Fairfax,F,"4200 Roberts Road Fairfax, VA 22032"
SB2024,Springboard,SB,Address not found on the team's page.
PH2024,Poplar Heights,PH,"2463 Buckelew Falls Church, VA"
FS2024,Fairfax Station,FS,"6203 Old Arrington Dr.Fairfax Station, VA 22039"
HTM2024,Hunter Mill,HTM,"10339 Brittenford Drive Vienna, VA 22182"
DL2024,Dunn Loring,DL,"8326 Cottage Street Vienna, VA 22180"
RH2024,Rolling Hills,RH,"8301 Carrleigh Parkway Springfield, VA 22152"
PL2024,Parklawn,PL,"6011 Crater Place Alexandria, va 22312"
SHB2024,Sleepy Hollow B & R,SHB,"3516 Sleepy Hollow Road Falls Church, VA 22044"
CW2024,Canterbury Woods,CW,"5101 Southampton Dr Annandale, VA 22003"
WW2024,Waynewood,WW,"1027 Dalebrook Drive Alexandria, VA 22308"
DH2024,Dominion Hills,DH,"6000 Wilson Boulevard Arlington, VA 22205"
R2024,Ravensworth Farm,R,"5210 Inverchapel Road Springfield, VA 22151"
FX2024,Fox Hunt,FX,"7024 Spaniel Rd Springfield, VA 22153"
CT2024,Cottontail,CT,"7000 Cottontail Court Springfield, VA 22153"
MVP2024,Mount Vernon Park,MVP,"8042 Fairfax Road Alexandria, VA 22308"
DT2024,Dowden Terrace,DT,Address not found on the team's page.
LE2024,Lakevale Estates,LE,"2554 Oak Valley Drive Vienna, VA 22180"
LV2024,Lakeview,LV,"5352 Gainsborough Dr Fairfax, VA 22032"
CCC2024,Camelot,CCC,"3604 Balin Court Annandale, VA 22003"
AF2024,Arlington Forest,AF,"5401 North Carlin Springs Road Arlington, VA 22203"
SS2024,Sully Station,SS,"5101 Sequoia Farms Drive Centreville, VA 20120"
VA2024,Villa Aquatic,VA,"4299 Andes Drive Fairfax, VA 22030"
MHC2024,Mansion House,MHC,"9321 Old Mount Vernon Rd Alexandria, VA 22309"
FH2024,Forest Hollow,FH,"4330 Old Columbia Pike Annandale, VA 22003"
HM2024,Hollin Meadows,HM,"2500 Woodlawn Trail Alexandria, VA 22306"
CCH2024,Country Club Hills,CCH,"3622 Old Post Rd Fairfax, VA 22030"
HP2024,Highland Park,HP,"6406 Telegraph Road Alexandria, VA 22310"
WG2024,Walden Glen,WG,"6126 Harmon Place Springfield, VA 22152"
HRA2024,Holmes Run Acres,HRA,"3451 Gallows Road Falls Church, VA 22042"
