resultID,meetEventID,swimmerID,time,place,points,powerIndex
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,42.64,6,0.0,231.72
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,28.66,1,5.0,574.11
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,29.45,2,3.0,529.14
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,30.13,3,1.0,494.11
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,30.65,4,0.0,469.39
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,31.91,5,0.0,415.95
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_19_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,35.03,6,0.0,314.42
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,29.07,1,5.0,294.92
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,29.64,2,3.0,278.23
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,30.09,3,1.0,265.94
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,30.76,4,0.0,248.93
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_21_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,34.82,5,0.0,171.62
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,48.57,1,5.0,451.47
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,52.84,2,3.0,350.62
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,53.09,3,1.0,345.69
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,54.57,4,0.0,318.32
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,54.59,5,0.0,317.97
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_23_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,66.13,6,0.0,178.87
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,42.0,1,5.0,484.62
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,43.25,2,3.0,443.8
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,43.26,3,1.0,443.49
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,43.82,4,0.0,426.71
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,45.7,5,0.0,376.18
