WC@L202133,WC@L2021,33,Boys,9-10,25,Meters,Fly,True
WC@L202135,WC@L2021,35,Boys,11-12,50,Meters,Fly,True
WC@L202137,WC@L2021,37,Boys,13-14,50,Meters,Fly,True
WC@L202139,WC@L2021,39,Boys,15-18,50,Meters,Fly,True
WC@L202141,WC@L2021,41,Boys,8&U,100,Meters,Free,False
WC@L202151,WC@L2021,51,Boys,Age,200,Meters,Free,False
WC@L202143,WC@L2021,43,Boys,9-10,100,Meters,Medley,False
WC@L202145,WC@L2021,45,Boys,11-12,100,Meters,Medley,False
WC@L202147,WC@L2021,47,Boys,13-14,100,Meters,Medley,False
WC@L202149,WC@L2021,49,Boys,15-18,200,Meters,Medley,False
WC@L20212,WC@L2021,2,Girls,8&U,25,Meters,Free,True
WC@L20214,WC@L2021,4,Girls,9-10,50,Meters,Free,True
WC@L20216,WC@L2021,6,Girls,11-12,50,Meters,Free,True
WC@L20218,WC@L2021,8,Girls,13-14,50,Meters,Free,True
WC@L202110,WC@L2021,10,Girls,15-18,50,Meters,Free,True
WC@L202112,WC@L2021,12,Girls,8&U,25,Meters,Back,True
WC@L202114,WC@L2021,14,Girls,9-10,50,Meters,Back,True
WC@L202116,WC@L2021,16,Girls,11-12,50,Meters,Back,True
WC@L202118,WC@L2021,18,Girls,13-14,50,Meters,Back,True
WC@L202120,WC@L2021,20,Girls,15-18,50,Meters,Back,True
WC@L202122,WC@L2021,22,Girls,8&U,25,Meters,Breast,True
WC@L202124,WC@L2021,24,Girls,9-10,50,Meters,Breast,True
WC@L202126,WC@L2021,26,Girls,11-12,50,Meters,Breast,True
WC@L202128,WC@L2021,28,Girls,13-14,50,Meters,Breast,True
WC@L202130,WC@L2021,30,Girls,15-18,50,Meters,Breast,True
WC@L202132,WC@L2021,32,Girls,8&U,25,Meters,Fly,True
WC@L202134,WC@L2021,34,Girls,9-10,25,Meters,Fly,True
WC@L202136,WC@L2021,36,Girls,11-12,50,Meters,Fly,True
WC@L202138,WC@L2021,38,Girls,13-14,50,Meters,Fly,True
WC@L202140,WC@L2021,40,Girls,15-18,50,Meters,Fly,True
WC@L202142,WC@L2021,42,Girls,8&U,100,Meters,Free,False
